PLAYER_ID	GP	GS	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS
201972	150	10	1570.0	118	242	0.487603	0	1	0.0	84	136	0.617647	212	260	472	49	33	9	57	267	320
1629151	56	1	600.0	76	174	0.436781	55	134	0.410447	22	27	0.814814	10	84	94	28	10	7	21	49	229
76262	121	19	1493.0	256	577	0.443674	12	45	0.266666	95	127	0.748031	94	88	182	222	75	22	126	202	619
1627763	223	148	6345.0	1131	2387	0.473816	293	748	0.391711	438	488	0.89754	163	657	820	939	198	45	359	436	2993
76263	241		4724.0	731	1640	0.445731				466	654	0.712538	87	320	407	715	107	76	12	489	1928
76264	61			187	661	0.282904				102	138	0.73913				137				152	476
201166	645	183	13440.0	2261	5478	0.412741	820	2218	0.369702	917	1095	0.837442	254	825	1079	1925	359	87	1000	1217	6259
1628415	150	124	4095.0	680	1581	0.430107	216	572	0.377622	263	335	0.785074	108	348	456	256	130	43	226	469	1839
76265	126	2	1031.0	172	429	0.400932	12	60	0.2	61	71	0.859154	40	101	141	48	18	6	69	84	417
202705	200	50	3456.0	613	1371	0.447118	109	316	0.344936	257	342	0.751461	132	292	424	282	120	42	248	269	1592
76266	319	196	9372.0	1673	3445	0.485631	5	33	0.151515	735	1029	0.714285	826	1175	2001	818	387	124	638	981	4086
418	680	7	9233.0	1233	2738	0.450328	287	771	0.372243	564	664	0.849397	158	527	685	1608	480	30	451	828	3317
2810	75	1	599.0	82	159	0.515723	0	1	0.0	33	66	0.5	70	108	178	11	14	8	48	73	197
1626148	41	11	761.0	58	177	0.327683	28	98	0.285714	17	20	0.85	17	86	103	28	19	6	21	49	161
76284	82			313	875	0.357714				206	299	0.688963				115				336	832
201628	158	2	1689.0	271	715	0.37902	96	303	0.316831	50	62	0.806451	23	80	103	230	41	4	123	148	688
1628971	123	93	2791.0	291	681	0.427312	53	175	0.302857	120	165	0.727272	96	302	398	284	95	61	129	312	755
359	694	265	11960.0	1712	3487	0.490966	22	97	0.226804	679	972	0.698559	665	1483	2148	549	228	216	537	1177	4125
2245	39	3	349.0	43	128	0.335937	4	14	0.285714	18	27	0.666666	18	34	52	19	5	7	31	44	108
76270	3			2	6	0.333333				0	2	0.0				0				3	4
244	608	267	16845.0	2540	5822	0.436276	605	1697	0.356511	1073	1300	0.825384	319	1250	1569	2227	800	205	905	1264	6758
200793	68	11	711.0	50	147	0.340136	13	52	0.25	27	42	0.642857	15	54	69	119	32	7	48	79	140
201974	171	18	2554.0	354	687	0.515283	13	41	0.317073	174	273	0.637362	167	246	413	119	89	32	109	208	895
2484	465	127	9020.0	1174	2927	0.401093	300	888	0.337837	704	907	0.776185	336	952	1288	679	263	58	505	747	3352
2081	3	0	21.0	1	6	0.166666	0	0	0.0	1	4	0.25	1	5	6	0	0	1	3	4	3
