PLAYER_ID	POSITION	GP	GS	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS
1629632	Guard	52	0	1245.0	211	563	0.374777	94	272	0.345588	62	85	0.729411	23	152	175	113	37	4	76	82	578
1628401	Guard	132	66	3010.0	439	931	0.471535	101	278	0.363309	206	261	0.789272	65	360	425	431	99	90	160	253	1185
202355	Center	390	306	10367.0	2217	3831	0.5787	6	22	0.272727	885	1453	0.609084	1311	3251	4562	256	232	943	632	1033	5325
203952	Forward	442	442	15839.0	3218	7300	0.440821	520	1566	0.332056	1754	2390	0.733891	554	1368	1922	1022	436	261	929	955	8710
1629684	Forward	48	3	742.0	66	156	0.423076	17	67	0.253731	31	45	0.688888	49	82	131	52	20	27	40	113	180
1629140	Forward	34	5	506.0	81	135	0.6	0	4	0.0	30	53	0.566037	63	79	142	19	9	13	20	73	192
1629026	Guard-Forward	81	47	1858.0	156	422	0.369668	77	252	0.305555	22	43	0.511627	104	293	397	136	70	40	57	176	411
101150	Guard	984	116	24447.0	4566	10874	0.4199	1327	3804	0.348843	3776	4492	0.840605	384	1818	2202	3380	863	179	1706	1317	14235
101107	Forward	1055	828	29837.0	3903	8815	0.442768	1034	2855	0.362171	2057	2547	0.807616	1261	4211	5472	1354	814	569	1013	2123	10897
1629057	Center-Forward	51	3	552.0	69	100	0.69	0	0	0.0	17	29	0.586206	50	118	168	28	26	61	26	70	155
1628430	Guard	9	0	28.0	1	7	0.142857	0	2	0.0	2	2	1.0	2	3	5	5	1	1	2	2	4
1629627	Forward	7	7	190.0	53	97	0.546391	4	9	0.444444	27	46	0.586956	25	31	56	15	4	2	18	14	137
1628391	Forward	96	3	1188.0	145	346	0.419075	59	177	0.333333	32	56	0.571428	53	231	284	73	22	25	48	114	381
1626159	Forward-Guard	241	105	6850.0	856	2053	0.41695	190	563	0.337477	279	432	0.645833	247	1048	1295	658	227	89	371	591	2181
1626174	Forward	100	3	1382.0	274	507	0.540433	45	127	0.35433	189	260	0.726923	107	304	411	47	38	64	80	104	782
1626153	Guard	247	22	4840.0	665	1476	0.450542	154	450	0.342222	340	428	0.794392	192	549	741	695	250	94	240	285	1824
201152	Forward	952	678	28885.0	5390	10813	0.498474	464	1404	0.330484	1291	1926	0.670301	1907	3727	5634	1581	1374	382	1368	2081	12535
1629027	Guard	128	128	4145.0	956	2225	0.429662	318	920	0.345652	698	834	0.83693	93	423	516	1078	126	20	536	218	2928
203469	Forward-Center	409	242	9383.0	1315	2565	0.51267	27	105	0.257142	849	1158	0.73316	797	1625	2422	566	277	294	439	1087	3506
1627790	Center	107	27	1455.0	260	447	0.581655	0	0	0.0	127	176	0.72159	146	289	435	61	21	39	77	163	647
1627826	Center	191	97	2971.0	564	1020	0.552941	0	6	0.0	255	339	0.752212	334	673	1007	168	46	149	169	366	1383
